rosa;17;4;18;27
indireto;20;13;1;60
imputado;30;2;1;69
atribuir;37;25;10;18
assumir;14;40;11;32
julgador;67;0;1;28
expressão;16;29;4;53
data;35;33;7;16
compartilhamento;49;47;3;1
postagem;13;53;7;7
instantâneo;5;10;0;31
celeridade;95;3;3;1
causar;22;17;3;57
rj;2;5;1;79
questionar;32;21;28;9
passo;55;17;10;18
organização;16;64;13;5
obstante;48;14;8;22
ementa;29;10;0;61
começar;0;11;83;0
coletivo;14;42;7;23
ambiente;10;49;13;25
algo;8;24;56;3
vincular;25;23;4;17
supostamente;22;32;11;30
proteção;18;17;1;64
potencialidade;4;0;0;98
missão;2;68;21;3
influência;13;19;6;59
referir;20;27;28;14
próximo;26;40;8;7
proferir;46;27;14;12
problema;6;28;58;1
peça;63;20;4;3
outubro;11;25;28;6
exterior;1;24;55;4
consistir;40;19;8;18
compreender;29;31;2;33
época;8;24;51;7
rejeição;56;4;15;16
referência;16;29;18;25
raul;25;7;12;10
origem;30;6;9;44
emprego;9;13;2;59
comum;54;20;11;10
complementar;65;7;4;14
caput;34;5;1;60
bastar;29;12;8;35
bahia;30;2;60;2
aptar;35;14;3;48
alves;4;0;4;6
sufrágio;11;17;1;69
solicitar;30;7;44;1
regional;26;10;17;42
petição;65;8;12;3
inúmero;32;37;13;12
enfrentar;35;27;15;8
educação;2;16;56;14
documentação;29;17;33;1
câmara;1;8;66;0
captação;14;7;1;70
adequado;57;13;8;16
síntese;52;16;3;24
parágrafo;35;7;1;34
mentira;0;50;25;3
litisconsórcio;67;0;0;17
interlocutório;86;1;3;1
firmar;44;6;3;27
envolvido;33;16;10;29
bastante;20;27;25;17
inexistência;47;6;6;28
garantir;21;22;13;24
referente;28;9;2;13
procedência;40;4;1;47
lives;3;65;20;3
inibitório;26;17;0;10
inexistir;58;8;6;6
importar;27;24;5;14
estabilização;84;0;2;5
denúncia;12;22;40;10
cármen;16;8;11;12
confirmar;15;26;33;10
atual;32;39;10;9
agir;15;38;17;20
twitter;3;28;3;3
tutelado;16;0;0;78
total;9;28;26;4
referendar;65;6;2;4
pretensão;66;7;6;9
preservar;33;12;1;47
observação;24;37;15;7
fundamentação;72;5;1;7
distribuição;22;25;1;33
desdobramento;82;6;3;3
decorrer;41;19;2;24
suscitado;66;4;4;10
supremo;15;7;47;21
reconhecimento;34;5;8;43
realmente;13;10;57;7
esclarecer;48;6;20;5
convicção;66;9;2;15
comunidade;2;76;9;4
cibernético;38;16;36;3
atenção;18;39;22;11
reprovabilidade;4;2;2;84
proceder;35;9;7;19
pertinência;74;2;5;8
mendes;20;0;1;54
lembrar;16;13;38;19
grifo;23;4;4;40
face;20;22;6;25
contrato;12;4;7;5
afetar;11;22;9;48
vice_procurador_geral_eleitoral;12;2;5;6
razoável;71;11;2;6
evitar;37;11;10;20
estadual;9;22;12;48
diplomático;2;74;4;4
chamado;15;41;23;4
vida;7;31;22;23
secretaria;7;11;59;4
residência;8;32;37;5
orientação;41;6;4;35
obrigar;27;12;39;5
leitura;24;24;19;17
jornalista;21;26;21;13
ilegitimidade;72;3;1;5
embargo;55;1;0;14
determinação;59;15;3;5
compra;10;5;1;16
augusto;0;1;39;8
atingir;15;46;4;23
anúncio;9;48;2;6
abertura;32;19;15;22
televisão;4;55;4;21
prévio;41;15;10;10
professor;16;16;36;8
polo;66;3;3;12
mulher;18;50;6;3
enviar;12;11;11;0
contato;1;19;27;1
carvalho;5;2;26;9
araújo;21;6;9;7
ônus;77;3;0;2
submeter;58;16;1;13
